seqnames,start,end,width,strand,name,Score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,228165397,228165897,501,*,BRCA_19622,66.51942109,Promoter (<=1kb),1,228164086,228165512,1427,2,574432,ENST00000366713.1,0,ENSG00000203684,IBA57-DT,IBA57 divergent transcript
chr1,202926970,202927470,501,*,BRCA_16298,66.39685493,Promoter (<=1kb),1,202891120,202927234,36115,2,59349,ENST00000367261.8,0,ENSG00000117153,KLHL12,kelch like family member 12
chr1,161021033,161021533,501,*,BRCA_12492,66.19657714,Promoter (<=1kb),1,160998402,161021096,22695,2,50848,ENST00000537746.1,0,ENSG00000158769,F11R,F11 receptor
chr1,212285093,212285593,501,*,BRCA_18028,62.5421697,Promoter (<=1kb),1,212285410,212361853,76444,1,5525,ENST00000261461.7,0,ENSG00000066027,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
chr1,156338177,156338677,501,*,BRCA_11921,59.68768325,Promoter (<=1kb),1,156335115,156338206,3092,2,7203,ENST00000489870.1,0,ENSG00000163468,CCT3,chaperonin containing TCP1 subunit 3
chr1,173867901,173868401,501,*,BRCA_13967,57.8151494,Promoter (<=1kb),1,173863901,173867983,4083,2,60674,ENST00000452197.5,0,ENSG00000234741,GAS5,growth arrest specific 5
chr1,44674312,44674812,501,*,BRCA_5394,57.50752786,Promoter (<=1kb),1,44654896,44674402,19507,2,79639,ENST00000420706.1,0,ENSG00000126106,TMEM53,transmembrane protein 53
chr1,154974201,154974701,501,*,BRCA_11434,57.45367931,Promoter (<=1kb),1,154967670,154974336,6667,2,6464,ENST00000412170.5,0,ENSG00000160691,SHC1,SHC adaptor protein 1
chr1,156457129,156457629,501,*,BRCA_11940,57.03236655,Promoter (<=1kb),1,156404253,156456613,52361,2,10485,ENST00000673141.1,-516,ENSG00000125462,MIR9-1HG,MIR9-1 host gene
chr1,202958136,202958636,501,*,BRCA_16305,57.01651367,Promoter (<=1kb),1,202941490,202958264,16775,2,51094,ENST00000367254.7,0,ENSG00000159346,ADIPOR1,adiponectin receptor 1
chr1,153922799,153923299,501,*,BRCA_11254,56.91339843,Promoter (<=1kb),1,153819624,153922828,103205,2,57459,ENST00000634791.1,0,ENSG00000143614,GATAD2B,GATA zinc finger domain containing 2B
chr1,184754744,184755244,501,*,BRCA_15066,56.80967713,Promoter (<=1kb),1,184690540,184754799,64260,2,80267,ENST00000687113.1,0,ENSG00000116406,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3
chr1,151539579,151540079,501,*,BRCA_10838,56.61148718,Promoter (<=1kb),1,151540305,151583583,43279,1,7286,ENST00000392712.7,-226,ENSG00000143367,TUFT1,tuftelin 1
chr1,202888929,202889429,501,*,BRCA_16295,56.19657733,Promoter (<=1kb),1,202878282,202889149,10868,2,5877,ENST00000367262.4,0,ENSG00000183155,RABIF,RAB interacting factor
chr1,159780653,159781153,501,*,BRCA_12259,55.72979619,Promoter (<=1kb),1,159780932,159782543,1612,1,54935,ENST00000368109.5,0,ENSG00000158716,DUSP23,dual specificity phosphatase 23
chr1,169893750,169894250,501,*,BRCA_13618,54.21660181,Promoter (<=1kb),1,169849631,169893896,44266,2,57147,ENST00000367771.11,0,ENSG00000000457,SCYL3,SCY1 like pseudokinase 3
chr1,201170602,201171102,501,*,BRCA_15891,54.05049529,Promoter (<=1kb),1,201134772,201171574,36803,2,252839,ENST00000367333.6,472,ENSG00000116857,TMEM9,transmembrane protein 9
chr1,167220448,167220948,501,*,BRCA_13261,53.90134045,Promoter (<=1kb),1,167220876,167365569,144694,1,5451,ENST00000559038.5,0,ENSG00000143190,POU2F1,POU class 2 homeobox 1
chr1,155192759,155193259,501,*,BRCA_11602,53.67764034,Promoter (<=1kb),1,155186123,155192867,6745,2,4582,ENST00000342482.8,0,ENSG00000185499,MUC1,"mucin 1, cell surface associated"
chr1,174999437,174999937,501,*,BRCA_14036,53.55835472,Promoter (<=1kb),1,174999471,175004968,5498,1,27101,ENST00000461977.1,0,ENSG00000116161,CACYBP,calcyclin binding protein
chr1,167935957,167936457,501,*,BRCA_13389,52.95625484,Promoter (<=1kb),1,167916729,167936040,19312,2,25874,ENST00000367846.8,0,ENSG00000143158,MPC2,mitochondrial pyruvate carrier 2
chr1,150363827,150364327,501,*,BRCA_10536,52.94011084,Promoter (<=1kb),1,150364147,150476566,112420,1,23248,ENST00000369068.5,0,ENSG00000163125,RPRD2,regulation of nuclear pre-mRNA domain containing 2
chr1,154936739,154937239,501,*,BRCA_11412,52.5188445,Promoter (<=1kb),1,154924740,154936719,11980,2,10654,ENST00000368467.4,-20,ENSG00000163344,PMVK,phosphomevalonate kinase
chr1,150515397,150515897,501,*,BRCA_10560,52.4919631,Promoter (<=1kb),1,150515757,150518032,2276,1,100874054,ENST00000416894.1,0,ENSG00000228126,FALEC,focally amplified long non-coding RNA in epithelial cancer
chr1,221741967,221742467,501,*,BRCA_18717,52.36758636,Promoter (<=1kb),1,221701424,221742089,40666,2,11221,ENST00000366899.4,0,ENSG00000143507,DUSP10,dual specificity phosphatase 10
chr1,150876536,150877036,501,*,BRCA_10664,52.04434639,Promoter (<=1kb),1,150836424,150876568,40145,2,405,ENST00000497108.6,0,ENSG00000143437,ARNT,aryl hydrocarbon receptor nuclear translocator
chr1,162561183,162561683,501,*,BRCA_12772,51.95169343,Promoter (<=1kb),1,162561722,162562544,823,1,6675,ENST00000476240.1,-39,ENSG00000117143,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1
chr1,226939892,226940392,501,*,BRCA_19477,51.35839445,Promoter (<=1kb),1,226940286,226987544,47259,1,56997,ENST00000366778.5,0,ENSG00000163050,COQ8A,coenzyme Q8A
chr1,185156882,185157382,501,*,BRCA_15129,51.02869893,Promoter (<=1kb),1,185118101,185156953,38853,2,81627,ENST00000367506.10,0,ENSG00000121486,TRMT1L,tRNA methyltransferase 1 like
chr1,203305171,203305671,501,*,BRCA_16416,50.8572151,Promoter (<=1kb),1,203300514,203305301,4788,2,730227,ENST00000689493.1,0,ENSG00000233791,BTG2-DT,BTG2 divergent transcript
chr1,169485762,169486262,501,*,BRCA_13562,50.66379585,Promoter (<=1kb),1,169463929,169485931,22003,2,10560,ENST00000367804.4,0,ENSG00000117479,SLC19A2,solute carrier family 19 member 2
chr1,202810634,202811134,501,*,BRCA_16278,50.56163298,Promoter (<=1kb),1,202810876,202811915,1040,1,100506696,ENST00000690240.1,0,ENSG00000228288,PCAT6,prostate cancer associated transcript 6
chr1,244451767,244452267,501,*,BRCA_21278,50.18648422,Promoter (<=1kb),1,244408494,244451909,43416,2,159,ENST00000366535.4,0,ENSG00000035687,ADSS2,adenylosuccinate synthase 2
chr1,155063413,155063913,501,*,BRCA_11517,49.81139034,Promoter (<=1kb),1,155063737,155069538,5802,1,1945,ENST00000359751.8,0,ENSG00000243364,EFNA4,ephrin A4
chr1,165630933,165631433,501,*,BRCA_13138,49.7486557,Promoter (<=1kb),1,165631213,165661796,30584,1,4259,ENST00000367888.8,0,ENSG00000143198,MGST3,microsomal glutathione S-transferase 3
chr1,228139917,228140417,501,*,BRCA_19607,49.70224052,Promoter (<=1kb),1,228139962,228148840,8879,1,2987,ENST00000366730.5,0,ENSG00000143774,GUK1,guanylate kinase 1
chr1,154220480,154220980,501,*,BRCA_11308,49.23047822,Promoter (<=1kb),1,154211734,154220533,8800,2,25912,ENST00000368518.5,0,ENSG00000143612,C1orf43,chromosome 1 open reading frame 43
chr1,207751757,207752257,501,*,BRCA_17385,48.55150834,Promoter (<=1kb),1,207752037,207795466,43430,1,4179,ENST00000695777.1,0,ENSG00000117335,CD46,CD46 molecule
chr1,153963384,153963884,501,*,BRCA_11268,48.44344205,Promoter (<=1kb),1,153959111,153963462,4352,2,27173,ENST00000368621.5,0,ENSG00000143570,SLC39A1,solute carrier family 39 member 1
chr1,244652576,244653076,501,*,BRCA_21289,48.31860804,Promoter (<=1kb),1,244653103,244705951,52849,1,51029,ENST00000263831.11,-27,ENSG00000121644,DESI2,desumoylating isopeptidase 2
chr1,179954492,179954992,501,*,BRCA_14473,47.95783267,Promoter (<=1kb),1,179954674,180114860,160187,1,9857,ENST00000706241.1,0,ENSG00000135837,CEP350,centrosomal protein 350
chr1,167721679,167722179,501,*,BRCA_13343,47.40219324,Promoter (<=1kb),1,167721950,167765896,43947,1,9019,ENST00000464954.1,0,ENSG00000197965,MPZL1,myelin protein zero like 1
chr1,169106015,169106515,501,*,BRCA_13528,46.82650203,Promoter (<=1kb),1,169106323,169131777,25455,1,481,ENST00000690184.1,0,ENSG00000143153,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
chr1,182391571,182392071,501,*,BRCA_14750,46.6626938,Promoter (<=1kb),1,182384196,182391759,7564,2,2752,ENST00000463851.6,0,ENSG00000135821,GLUL,glutamate-ammonia ligase
chr1,153727636,153728136,501,*,BRCA_11219,46.43192476,Promoter (<=1kb),1,153728050,153774808,46759,1,65123,ENST00000318967.7,0,ENSG00000143624,INTS3,integrator complex subunit 3
chr1,186375160,186375660,501,*,BRCA_15194,46.35504159,Promoter (<=1kb),1,186311652,186375253,63602,2,7175,ENST00000367478.9,0,ENSG00000047410,TPR,"translocated promoter region, nuclear basket protein"
chr1,202861397,202861897,501,*,BRCA_16290,46.33014965,Promoter (<=1kb),1,202861754,202875241,13488,1,148709,ENST00000456105.2,0,ENSG00000293264,ACTG1P25,actin gamma 1 pseudogene 25
chr1,179882347,179882847,501,*,BRCA_14466,46.2356034,Promoter (<=1kb),1,179882696,179920077,37382,1,26092,ENST00000435319.8,0,ENSG00000143337,TOR1AIP1,torsin 1A interacting protein 1
chr1,211579071,211579571,501,*,BRCA_17898,46.12828083,Promoter (<=1kb),1,211571568,211579161,7594,2,7779,ENST00000367001.5,0,ENSG00000170385,SLC30A1,solute carrier family 30 member 1
chr1,171781184,171781684,501,*,BRCA_13764,45.97085378,Promoter (<=1kb),1,171781660,171797716,16057,1,51603,ENST00000361735.4,0,ENSG00000010165,METTL13,"methyltransferase 13, eEF1A N-terminus and K55"
chr1,110338609,110339109,501,*,BRCA_9186,45.44033553,Promoter (<=1kb),1,110292260,110339153,46894,2,440600,ENST00000686992.1,44,ENSG00000227963,RBM15-AS1,RBM15 antisense RNA 1
chr1,161083398,161083898,501,*,BRCA_12516,45.30499612,Promoter (<=1kb),1,161084465,161087571,3107,1,105371471,ENST00000447167.1,-567,,NECTIN4-AS1,NECTIN4 antisense RNA 1
chr1,151281187,151281687,501,*,BRCA_10779,45.18853856,Promoter (<=1kb),1,151281618,151286705,5088,1,57592,ENST00000443959.1,0,ENSG00000143373,ZNF687,zinc finger protein 687
chr1,156728540,156729040,501,*,BRCA_12062,45.18853856,Promoter (<=1kb),1,156721895,156728766,6872,2,81875,ENST00000368219.2,0,ENSG00000143319,ISG20L2,interferon stimulated exonuclease gene 20 like 2
chr1,153967517,153968017,501,*,BRCA_11272,44.84313335,Promoter (<=1kb),1,153967534,153968968,1435,1,148327,ENST00000477617.5,0,ENSG00000143578,CREB3L4,cAMP responsive element binding protein 3 like 4
chr1,155308467,155308967,501,*,BRCA_11658,44.82090857,Promoter (<=1kb),1,155308748,155320666,11919,1,2224,ENST00000611010.4,0,ENSG00000160752,FDPS,farnesyl diphosphate synthase
chr1,147599794,147600294,501,*,BRCA_10292,44.72908056,Promoter (<=1kb),1,147600196,147611693,11498,1,607,ENST00000497938.1,0,ENSG00000116128,BCL9,BCL9 transcription coactivator
chr1,156114032,156114532,501,*,BRCA_11825,44.43260406,Promoter (<=1kb),1,156114251,156139293,25043,1,4000,ENST00000361308.9,0,ENSG00000160789,LMNA,lamin A/C
chr1,228457679,228458179,501,*,BRCA_19694,43.91032767,Promoter (<=1kb),1,228434777,228457873,23097,2,124904538,ENST00000691624.1,0,,LOC124904538,uncharacterized LOC124904538
chr1,2227557,2228057,501,*,BRCA_361,43.74382506,Promoter (<=1kb),1,2227388,2303908,76521,1,6497,ENST00000704337.1,169,ENSG00000157933,SKI,SKI proto-oncogene
chr1,244048159,244048659,501,*,BRCA_21202,43.71052504,Promoter (<=1kb),1,244048547,244055501,6955,1,10472,ENST00000696615.1,0,ENSG00000179456,ZBTB18,zinc finger and BTB domain containing 18
chr1,156767060,156767560,501,*,BRCA_12084,43.678496,Promoter (<=1kb),1,156767535,156800815,33281,1,5546,ENST00000271526.9,0,ENSG00000143294,PRCC,proline rich mitotic checkpoint control factor
chr1,235328247,235328747,501,*,BRCA_20692,43.61873067,Promoter (<=1kb),1,235328399,235342596,14198,1,9453,ENST00000471812.5,0,ENSG00000152904,GGPS1,geranylgeranyl diphosphate synthase 1
chr1,150235921,150236421,501,*,BRCA_10505,43.5460315,Promoter (<=1kb),1,150220538,150235955,15418,2,81611,ENST00000533654.5,0,ENSG00000143401,ANP32E,acidic nuclear phosphoprotein 32 family member E
chr1,149886544,149887044,501,*,BRCA_10435,43.50473683,Promoter (<=1kb),1,149884459,149886682,2224,2,8349,ENST00000369155.4,0,ENSG00000184678,H2BC21,H2B clustered histone 21
chr1,202010273,202010773,501,*,BRCA_16102,43.38894916,Promoter (<=1kb),1,201995696,202010463,14768,2,102723465,ENST00000419190.2,0,,ELF3-AS1,ELF3 antisense RNA 1
chr1,150697046,150697546,501,*,BRCA_10649,43.15587571,Promoter (<=1kb),1,150694512,150697108,2597,2,55204,ENST00000479757.1,0,ENSG00000143457,GOLPH3L,golgi phosphoprotein 3 like
chr1,200669787,200670287,501,*,BRCA_15810,43.04185566,Promoter (<=1kb),1,200623896,200669907,46012,2,83479,ENST00000447706.6,0,ENSG00000118197,DDX59,DEAD-box helicase 59
chr1,225999231,225999731,501,*,BRCA_19295,43.04185566,Promoter (<=1kb),1,225982702,225999343,16642,2,163859,ENST00000272091.8,0,ENSG00000143751,SDE2,SDE2 telomere maintenance homolog
chr1,226062397,226062897,501,*,BRCA_19308,43.04185566,Promoter (<=1kb),1,226062714,226067269,4556,1,3020,ENST00000366814.3,0,ENSG00000163041,H3-3A,H3.3 histone A
chr1,155324167,155324667,501,*,BRCA_11668,42.39475937,Promoter (<=1kb),1,155317946,155324168,6223,2,284618,ENST00000443642.1,0,ENSG00000225855,RUSC1-AS1,RUSC1 antisense RNA 1
chr1,164558667,164559167,501,*,BRCA_12902,42.39006743,Promoter (<=1kb),1,164559184,164851831,292648,1,5087,ENST00000420696.7,-17,ENSG00000185630,PBX1,PBX homeobox 1
chr1,167553566,167554066,501,*,BRCA_13300,42.03195041,Promoter (<=1kb),1,167541013,167553762,12750,2,8804,ENST00000370509.5,0,ENSG00000143162,CREG1,cellular repressor of E1A stimulated genes 1
chr1,2412420,2412920,501,*,BRCA_427,41.88371203,Promoter (<=1kb),1,2404061,2412456,8396,2,5192,ENST00000650293.1,0,ENSG00000157911,PEX10,peroxisomal biogenesis factor 10
chr1,205321557,205322057,501,*,BRCA_16893,41.48113537,Promoter (<=1kb),1,205302063,205321745,19683,2,81788,ENST00000367157.6,0,ENSG00000163545,NUAK2,NUAK family kinase 2
chr1,151790351,151790851,501,*,BRCA_10915,41.44077717,Promoter (<=1kb),1,151774099,151790430,16332,2,11022,ENST00000526413.5,0,ENSG00000182134,TDRKH,tudor and KH domain containing
chr1,180631708,180632208,501,*,BRCA_14548,41.08263908,Promoter (<=1kb),1,180632022,180890279,258258,1,9213,ENST00000367590.9,0,ENSG00000143324,XPR1,xenotropic and polytropic retrovirus receptor 1
chr1,234610789,234611289,501,*,BRCA_20493,41.01971857,Promoter (<=1kb),1,234604269,234610178,5910,2,359948,ENST00000366609.4,-611,ENSG00000168264,IRF2BP2,interferon regulatory factor 2 binding protein 2
chr1,2586336,2586836,501,*,BRCA_476,40.78396893,Promoter (<=1kb),1,2586491,2589632,3142,1,127281,ENST00000493183.5,0,ENSG00000157870,PRXL2B,peroxiredoxin like 2B
chr1,228109132,228109632,501,*,BRCA_19602,40.73827267,Promoter (<=1kb),1,228108290,228109254,965,2,128308,ENST00000489430.1,0,ENSG00000162910,MRPL55,mitochondrial ribosomal protein L55
chr1,225777506,225778006,501,*,BRCA_19217,40.22942409,Promoter (<=1kb),1,225777813,225786969,9157,1,6726,ENST00000619790.4,0,ENSG00000143742,SRP9,signal recognition particle 9
chr1,211259060,211259560,501,*,BRCA_17846,39.71821628,Promoter (<=1kb),1,211259279,211314591,55313,1,55758,ENST00000367006.8,0,ENSG00000117625,RCOR3,REST corepressor 3
chr1,171485203,171485703,501,*,BRCA_13743,39.65129769,Promoter (<=1kb),1,171485530,171593511,107982,1,23215,ENST00000647382.2,0,ENSG00000117523,PRRC2C,proline rich coiled-coil 2C
chr1,228166394,228166894,501,*,BRCA_19623,39.54630745,Promoter (<=1kb),1,228165804,228182257,16454,1,200205,ENST00000366711.4,590,ENSG00000181873,IBA57,iron-sulfur cluster assembly factor IBA57
chr1,154558614,154559114,501,*,BRCA_11367,39.5363018,Promoter (<=1kb),1,154548577,154558662,10086,2,55585,ENST00000292211.5,0,ENSG00000160714,UBE2Q1,ubiquitin conjugating enzyme E2 Q1
chr1,179081764,179082264,501,*,BRCA_14404,39.23160034,Promoter (<=1kb),1,179082070,179085855,3786,1,64222,ENST00000367625.8,0,ENSG00000186283,TOR3A,torsin family 3 member A
chr1,147172412,147172912,501,*,BRCA_10256,38.99761174,Promoter (<=1kb),1,147155106,147172470,17365,2,5565,ENST00000254101.4,0,ENSG00000131791,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2
chr1,205813040,205813540,501,*,BRCA_17038,38.92185696,Promoter (<=1kb),1,205789095,205813198,24104,2,254428,ENST00000367137.4,0,ENSG00000133065,SLC41A1,solute carrier family 41 member 1
chr1,58783960,58784460,501,*,BRCA_6444,38.83139398,Promoter (<=1kb),1,58780791,58784047,3257,2,3725,ENST00000371222.4,0,ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
chr1,235504394,235504894,501,*,BRCA_20710,38.40619644,Promoter (<=1kb),1,235464896,235504422,39527,2,148789,ENST00000313984.3,0,ENSG00000162885,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2"
chr1,155135545,155136045,501,*,BRCA_11566,38.39415859,Promoter (<=1kb),1,155135812,155138857,3046,1,55974,ENST00000368401.6,0,ENSG00000169241,SLC50A1,solute carrier family 50 member 1
chr1,228082333,228082833,501,*,BRCA_19590,38.39415859,Promoter (<=1kb),1,228082708,228099212,16505,1,375,ENST00000272102.10,0,ENSG00000143761,ARF1,ADP ribosylation factor 1
chr1,155688527,155689027,501,*,BRCA_11709,38.32259417,Promoter (<=1kb),1,155659446,155688573,29128,2,55249,ENST00000368340.9,0,ENSG00000163374,YY1AP1,YY1 associated protein 1
chr1,149887849,149888349,501,*,BRCA_10437,38.28966177,Promoter (<=1kb),1,149887890,149900491,12602,1,51027,ENST00000369153.2,0,ENSG00000178096,BOLA1,bolA family member 1
chr1,153670860,153671360,501,*,BRCA_11208,37.65817914,Promoter (<=1kb),1,153667283,153670982,3700,2,3608,ENST00000368681.1,0,ENSG00000143621,ILF2,interleukin enhancer binding factor 2
chr1,212608382,212608882,501,*,BRCA_18083,37.37478081,Promoter (<=1kb),1,212608670,212619247,10578,1,467,ENST00000465155.5,0,ENSG00000162772,ATF3,activating transcription factor 3
chr1,203026196,203026696,501,*,BRCA_16319,37.12011395,Promoter (<=1kb),1,203026491,203078731,52241,1,8497,ENST00000688357.1,0,ENSG00000143847,PPFIA4,PTPRF interacting protein alpha 4
chr1,153958436,153958936,501,*,BRCA_11263,37.11173753,Promoter (<=1kb),1,153947678,153958564,10887,2,200186,ENST00000487235.5,0,ENSG00000160741,CRTC2,CREB regulated transcription coactivator 2
chr1,43649786,43650286,501,*,BRCA_5287,37.0934698,Promoter (<=1kb),1,43650149,43705518,55370,1,9682,ENST00000372396.4,0,ENSG00000066135,KDM4A,lysine demethylase 4A
chr1,223992438,223992938,501,*,BRCA_18992,36.97855198,Promoter (<=1kb),1,223983194,223992594,9401,2,441124,ENST00000685304.1,0,,GTF2IP20,general transcription factor IIi pseudogene 20
chr1,248837923,248838423,501,*,BRCA_21618,36.91007241,Promoter (<=1kb),1,248838210,248847208,8999,1,79894,ENST00000510904.5,0,ENSG00000171161,ZNF672,zinc finger protein 672
chr1,156212700,156213200,501,*,BRCA_11882,36.90030561,Promoter (<=1kb),1,156212982,156243332,30351,1,100527963,ENST00000490491.5,0,ENSG00000260238,PMF1-BGLAP,PMF1-BGLAP readthrough
chr1,212035359,212035859,501,*,BRCA_17978,36.88305601,Promoter (<=1kb),1,211941356,212035520,94165,2,25896,ENST00000366992.7,0,ENSG00000143493,INTS7,integrator complex subunit 7
chr1,160098774,160099274,501,*,BRCA_12342,36.75241308,Promoter (<=1kb),1,160091350,160098828,7479,2,93185,ENST00000614243.4,0,ENSG00000162729,IGSF8,immunoglobulin superfamily member 8
chr1,205631764,205632264,501,*,BRCA_16982,36.69732073,Promoter (<=1kb),1,205597556,205631893,34338,2,2005,ENST00000616704.4,0,ENSG00000158711,ELK4,ETS transcription factor ELK4
chr1,230978701,230979201,501,*,BRCA_20057,36.69590792,Promoter (<=1kb),1,230933783,230978796,45014,2,79573,ENST00000522821.5,0,ENSG00000143643,TTC13,tetratricopeptide repeat domain 13
chr1,6785027,6785527,501,*,BRCA_779,36.69346812,Promoter (<=1kb),1,6785454,6872053,86600,1,23261,ENST00000490738.5,0,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,173476883,173477383,501,*,BRCA_13943,36.53066667,Promoter (<=1kb),1,173417793,173476996,59204,2,101928673,ENST00000660739.1,0,ENSG00000203739,PRDX6-AS1,PRDX6 antisense RNA 1
chr1,36385889,36386389,501,*,BRCA_4385,36.47315956,Promoter (<=1kb),1,36339628,36385924,46297,2,83931,ENST00000373132.4,0,ENSG00000196182,STK40,serine/threonine kinase 40
chr1,174022161,174022661,501,*,BRCA_13978,36.2629121,Promoter (<=1kb),1,173931084,174022357,91274,2,149041,ENST00000367696.7,0,ENSG00000135870,RC3H1,ring finger and CCCH-type domains 1
chr1,151511123,151511623,501,*,BRCA_10826,36.23376848,Promoter (<=1kb),1,151511387,151519392,8006,1,57530,ENST00000427934.2,0,ENSG00000143375,CGN,cingulin
chr1,243255626,243256126,501,*,BRCA_21138,36.20194931,Promoter (<=1kb),1,243256034,243286397,30364,1,10806,ENST00000490065.5,0,ENSG00000054282,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8
chr1,183635619,183636119,501,*,BRCA_14908,36.1879491,Promoter (<=1kb),1,183623266,183635682,12417,2,10092,ENST00000367534.5,0,ENSG00000162704,ARPC5,actin related protein 2/3 complex subunit 5
chr1,161166082,161166582,501,*,BRCA_12551,35.95087224,Promoter (<=1kb),1,161166410,161171218,4809,1,5498,ENST00000352210.9,0,ENSG00000143224,PPOX,protoporphyrinogen oxidase
chr1,1919179,1919679,501,*,BRCA_301,35.86236395,Promoter (<=1kb),1,1917845,1919258,1414,2,339456,ENST00000378598.4,0,ENSG00000178821,TMEM52,transmembrane protein 52
chr1,15524264,15524764,501,*,BRCA_1818,35.69889297,Promoter (<=1kb),1,15492270,15524347,32078,2,842,ENST00000348549.9,0,ENSG00000132906,CASP9,caspase 9
chr1,155044803,155045303,501,*,BRCA_11498,35.64074668,Promoter (<=1kb),1,155045191,155046118,928,2,100505666,ENST00000452962.1,815,,DCST1-AS1,DCST1 antisense RNA 1
chr1,181088374,181088874,501,*,BRCA_14596,35.60852032,Promoter (<=1kb),1,181088700,181092900,4201,1,51278,ENST00000367577.7,0,ENSG00000162783,IER5,immediate early response 5
chr1,151008145,151008645,501,*,BRCA_10714,35.41307132,Promoter (<=1kb),1,150996835,151008365,11531,2,55793,ENST00000361936.9,0,ENSG00000143409,MINDY1,MINDY lysine 48 deubiquitinase 1
chr1,36224114,36224614,501,*,BRCA_4340,35.29607094,Promoter (<=1kb),1,36224432,36304148,79717,1,9967,ENST00000469141.6,0,ENSG00000054118,THRAP3,thyroid hormone receptor associated protein 3
chr1,147242390,147242890,501,*,BRCA_10264,35.2390692,Promoter (<=1kb),1,147242654,147295730,53077,1,9557,ENST00000652587.1,0,ENSG00000131778,CHD1L,chromodomain helicase DNA binding protein 1 like
chr1,161045720,161046220,501,*,BRCA_12503,35.19319096,Promoter (<=1kb),1,161041390,161045873,4484,2,7391,ENST00000534633.5,0,ENSG00000158773,USF1,upstream transcription factor 1
chr1,30718071,30718571,501,*,BRCA_3704,35.17480543,Promoter (<=1kb),1,30718504,30726744,8241,1,100129196,ENST00000414532.6,0,ENSG00000186056,MATN1-AS1,MATN1 antisense RNA 1
chr1,9910297,9910797,501,*,BRCA_1215,35.09366982,Promoter (<=1kb),1,9850109,9910336,60228,2,56998,ENST00000400904.7,0,ENSG00000178585,CTNNBIP1,catenin beta interacting protein 1
chr1,155562678,155563178,501,*,BRCA_11684,35.07129697,Promoter (<=1kb),1,155335268,155562693,227426,2,55870,ENST00000368346.7,0,ENSG00000116539,ASH1L,ASH1 like histone lysine methyltransferase
chr1,6613333,6613833,501,*,BRCA_764,35.03178117,Promoter (<=1kb),1,6613731,6624030,10300,1,148479,ENST00000377648.5,0,ENSG00000116273,PHF13,PHD finger protein 13
